City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Carnarvon,AU,87.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
4,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
7,San Eugenio,PH,83.41,overcast clouds,16.3598,120.35700000000001,Albans Lodging House
8,Basco,PH,76.21,broken clouds,20.4487,121.9702,Nathaniel's Lodge
11,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Sassandra,CI,77.49,overcast clouds,4.95,-6.0833,la terrasse
13,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
18,Labuhan,ID,83.82,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
21,Hithadhoo,MV,84.38,broken clouds,-0.6,73.0833,Scoop Guest House
23,Vao,NC,76.75,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
26,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Boueni,YT,77.0,clear sky,-12.9025,45.0761,The feet in water
30,Rikitea,PF,81.72,scattered clouds,-23.1203,-134.9692,Pension Maro'i
32,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Busselton,AU,78.01,clear sky,-33.65,115.3333,Observatory Guest House
41,Dingle,PH,86.31,few clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Port Moresby,PG,86.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
45,Souillac,MU,77.0,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Yarada,IN,82.76,clear sky,17.65,83.2667,Jeevan
52,Faanui,PF,83.14,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Ahuimanu,US,77.0,light rain,21.4447,-157.8378,Paradise Bay Resort
56,Grand Gaube,MU,75.99,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
58,Benguela,AO,79.93,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
60,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
62,Lianzhou,CN,76.14,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
66,Bac Lieu,VN,84.9,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
77,Port Blair,IN,84.2,mist,11.6667,92.75,Welcomhotel Bay Island Port Blair
78,Pak Phanang,TH,90.0,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
80,Makakilo City,US,75.2,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
81,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
85,Lorengau,PG,84.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
87,Quatre Cocos,MU,77.0,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
88,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
93,Sumbe,AO,79.39,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
103,Isangel,VU,78.8,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
105,Luganville,VU,81.55,broken clouds,-15.5333,167.1667,The Espiritu Hotel
108,Atuona,PF,80.42,clear sky,-9.8,-139.0333,Villa Enata
112,Hambantota,LK,84.2,clear sky,6.1241,81.1185,Bungalow 63
113,Shenzhen,CN,80.01,scattered clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
117,Progreso,MX,80.6,few clouds,21.2833,-89.6667,Playa Linda Hotel
126,San Pedro,PH,86.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
130,Charters Towers,AU,89.44,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
140,Cap Malheureux,MU,75.99,heavy intensity rain,-19.9842,57.6142,Pereybere Hotel & Spa
146,Mananara,MG,75.79,few clouds,-16.1667,49.7667,Chez Roger
147,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
149,Miri,MY,86.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
152,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
153,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
157,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Totness,SR,76.66,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
160,Pemba,MZ,75.2,moderate rain,-12.974,40.5178,Guesthouse Samotina
162,Dibulla,CO,75.69,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
165,Muttupet,IN,84.13,clear sky,10.4,79.4833,Hotel Star Residency
166,Marawi,PH,84.0,few clouds,7.9986,124.2928,Derogongan Residence
171,Guider,CM,79.07,overcast clouds,9.9342,13.9486,Hotel Falaise
174,Ranong,TH,86.0,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
181,Bontang,ID,87.1,clear sky,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
190,Juazeiro,BR,77.0,clear sky,-9.4117,-40.4986,JB Hotel
194,Kroya,ID,87.4,broken clouds,-7.6331,109.2461,RUSTANTO Fam
203,Katobu,ID,88.47,few clouds,-4.9408,122.5276,La Ode Husein
205,Victoria,HK,79.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
207,Tecoanapa,MX,75.2,clear sky,16.5167,-98.75,Hotel Manglares
210,Carutapera,BR,75.4,clear sky,-1.195,-46.02,Lidera
213,Buluang,PH,85.17,broken clouds,13.3068,123.3425,Enon Beach Resort
215,Baghmara,IN,86.81,clear sky,23.795,86.2085,Shankar tea shop
220,Dahanu,IN,84.78,clear sky,19.9667,72.7333,Pearline Beach Villas
223,Bengkulu,ID,83.05,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
227,Nishihara,JP,82.4,scattered clouds,26.1842,127.7558,Minshuku Agaihama
228,Mackay,AU,86.0,scattered clouds,-21.15,149.2,International Lodge Motel
231,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
