City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2021-03-14 21:25:54,-33.5906,26.891,69.01,96,97,7.0
1,Kapaa,US,2021-03-14 21:25:55,22.0752,-159.319,73.4,78,90,27.63
2,Puerto Ayora,EC,2021-03-14 21:25:55,-0.7393,-90.3518,82.4,74,40,9.22
3,Fairbanks,US,2021-03-14 21:25:56,64.8378,-147.7164,15.01,44,1,2.37
4,Itaberai,BR,2021-03-14 21:25:56,-16.0203,-49.8103,72.88,90,99,3.74
5,Mataura,NZ,2021-03-14 21:25:57,-46.1927,168.8643,56.82,74,100,4.61
6,Freeport,US,2021-03-14 21:24:11,40.6576,-73.5832,46.99,34,1,19.57
7,Dolores,AR,2021-03-14 21:25:57,-36.3132,-57.6792,74.91,48,91,10.36
8,Pathein,MM,2021-03-14 21:25:58,16.7833,94.7333,73.67,84,0,8.41
9,Busselton,AU,2021-03-14 21:25:58,-33.65,115.3333,57.99,74,34,4.0
10,Lagoa,PT,2021-03-14 21:25:59,39.05,-27.9833,60.15,90,0,15.9
11,Ampanihy,MG,2021-03-14 21:25:59,-24.7,44.75,72.1,76,0,12.06
12,Hilo,US,2021-03-14 21:25:15,19.7297,-155.09,77.0,78,90,12.66
13,East London,ZA,2021-03-14 21:26:00,-33.0153,27.9116,74.16,82,91,12.28
14,Rikitea,PF,2021-03-14 21:21:26,-23.1203,-134.9692,80.31,77,11,12.64
15,Castro,BR,2021-03-14 21:26:01,-24.7911,-50.0119,72.23,80,0,3.0
16,Vestmannaeyjar,IS,2021-03-14 21:26:01,63.4427,-20.2734,39.11,76,99,15.66
17,Butaritari,KI,2021-03-14 21:26:02,3.0707,172.7902,81.39,80,24,14.52
18,Panzhihua,CN,2021-03-14 21:26:03,26.5851,101.7128,55.2,52,0,1.7
19,Vaini,TO,2021-03-14 21:26:04,-21.2,-175.2,80.6,78,75,4.61
20,Olafsvik,IS,2021-03-14 21:26:04,64.8945,-23.7142,35.2,66,76,10.63
21,Bredasdorp,ZA,2021-03-14 21:26:05,-34.5322,20.0403,64.4,100,99,4.61
22,Atuona,PF,2021-03-14 21:26:05,-9.8,-139.0333,80.44,63,67,10.07
23,Villablino,ES,2021-03-14 21:26:06,42.9393,-6.3194,45.0,91,38,1.99
24,Punta Arenas,CL,2021-03-14 21:26:06,-53.15,-70.9167,50.0,71,0,11.5
25,Kamenka,RU,2021-03-14 21:26:07,51.3223,42.7678,28.0,86,81,13.53
26,New Norfolk,AU,2021-03-14 21:26:07,-42.7826,147.0587,63.0,61,91,1.99
27,Luderitz,NA,2021-03-14 21:23:18,-26.6481,15.1594,67.89,75,0,20.76
28,Provideniya,RU,2021-03-14 21:26:08,64.3833,-173.3,22.64,94,100,8.32
29,Port Elizabeth,ZA,2021-03-14 21:23:41,-33.918,25.5701,69.8,94,90,8.05
30,Hualmay,PE,2021-03-14 21:26:09,-11.0964,-77.6139,77.45,66,10,8.12
31,Sisimiut,GL,2021-03-14 21:26:09,66.9395,-53.6735,9.03,81,95,8.77
32,Hermanus,ZA,2021-03-14 21:26:10,-34.4187,19.2345,64.99,92,100,15.35
33,Geraldton,AU,2021-03-14 21:26:10,-28.7667,114.6,73.4,31,1,16.11
34,Viedma,AR,2021-03-14 21:26:11,-40.8135,-62.9967,70.93,53,25,13.53
35,Ostrovnoy,RU,2021-03-14 21:26:11,68.0531,39.5131,22.66,93,100,6.58
36,Jieshou,CN,2021-03-14 21:26:12,33.2634,115.3611,58.14,88,100,4.54
37,Mar Del Plata,AR,2021-03-14 21:26:12,-38.0023,-57.5575,73.4,73,20,11.5
38,Saldanha,ZA,2021-03-14 21:26:13,-33.0117,17.9442,62.6,88,83,9.22
39,Chardara,KZ,2021-03-14 21:26:13,41.2547,67.9692,30.22,59,42,2.73
40,Nishihara,JP,2021-03-14 21:26:14,26.1842,127.7558,62.6,67,40,3.44
41,Saint-Paul,RE,2021-03-14 21:21:36,-21.0096,55.2707,80.6,74,75,11.5
42,Belyy Yar,RU,2021-03-14 21:26:15,53.6039,91.3903,1.4,78,0,2.24
43,Ushuaia,AR,2021-03-14 21:21:31,-54.8,-68.3,53.6,50,75,17.27
44,Saint-Philippe,RE,2021-03-14 21:26:16,-21.3585,55.7679,78.8,83,75,13.8
45,Chokurdakh,RU,2021-03-14 21:26:16,70.6333,147.9167,-21.59,93,0,4.45
46,Nikolskoye,RU,2021-03-14 21:26:17,59.7035,30.7861,36.0,93,90,6.71
47,Albany,US,2021-03-14 21:26:17,42.6001,-73.9662,34.0,25,96,3.0
48,Bluff,NZ,2021-03-14 21:26:18,-46.6,168.3333,60.53,71,100,13.96
49,Mandalgovi,MN,2021-03-14 21:26:18,45.7625,106.2708,10.58,44,0,14.07
50,Guerrero Negro,MX,2021-03-14 21:23:56,27.9769,-114.0611,66.45,45,0,16.26
51,Victoria,HK,2021-03-14 21:24:14,22.2855,114.1577,69.01,86,92,13.44
52,Cape Town,ZA,2021-03-14 21:21:40,-33.9258,18.4232,68.0,73,20,16.11
53,Sao Raimundo Das Mangabeiras,BR,2021-03-14 21:26:20,-7.0219,-45.4811,78.94,83,68,1.14
54,Staraya Poltavka,RU,2021-03-14 21:26:20,50.4772,46.4814,20.55,73,50,11.88
55,Bambous Virieux,MU,2021-03-14 21:26:21,-20.3428,57.7575,77.0,94,75,3.44
56,Rudbar,AF,2021-03-14 21:26:21,30.15,62.6,57.9,23,0,7.52
57,Cockburn Town,TC,2021-03-14 21:26:21,21.4612,-71.1419,77.0,50,1,11.5
58,Tandil,AR,2021-03-14 21:26:22,-37.3217,-59.1332,75.99,49,56,5.01
59,Grand Gaube,MU,2021-03-14 21:26:22,-20.0064,57.6608,75.0,92,99,1.01
60,Klyuchi,RU,2021-03-14 21:26:23,52.2667,79.1667,1.04,93,100,5.19
61,Tiksi,RU,2021-03-14 21:26:23,71.6872,128.8694,3.74,88,100,5.35
62,Garowe,SO,2021-03-14 21:26:24,8.4054,48.4845,67.86,87,63,12.62
63,Denpasar,ID,2021-03-14 21:26:24,-8.65,115.2167,77.0,94,40,3.44
64,Saint-Georges,GD,2021-03-14 21:26:25,12.0564,-61.7485,78.8,83,75,12.66
65,Ribeira Grande,PT,2021-03-14 21:26:25,38.5167,-28.7,60.8,100,40,11.5
66,Augustow,PL,2021-03-14 21:26:26,53.8432,22.9798,34.16,92,56,12.71
67,Cayenne,GF,2021-03-14 21:26:26,4.9333,-52.3333,75.2,94,75,2.3
68,Yellowknife,CA,2021-03-14 21:26:12,62.456,-114.3525,14.0,79,90,9.22
69,Pietarsaari,FI,2021-03-14 21:26:27,63.65,22.6833,33.01,100,90,5.75
70,Brae,GB,2021-03-14 21:26:27,60.3964,-1.353,42.8,75,90,19.57
71,Kapuskasing,CA,2021-03-14 21:24:35,49.4169,-82.4331,14.0,44,100,13.8
72,Khorramshahr,IR,2021-03-14 21:26:28,30.4397,48.1664,60.8,59,0,2.3
73,Yulara,AU,2021-03-14 21:26:28,-25.2406,130.9889,60.8,41,0,10.36
74,San Pedro,PH,2021-03-14 21:26:29,14.35,121.0167,78.8,83,75,2.3
75,Slave Lake,CA,2021-03-14 21:26:29,55.2834,-114.769,39.2,70,90,11.5
76,Villazon,BO,2021-03-14 21:26:30,-22.0866,-65.5942,57.16,54,92,11.01
77,Narsaq,GL,2021-03-14 21:26:30,60.9167,-46.05,37.4,41,75,28.77
78,Letlhakeng,BW,2021-03-14 21:26:31,-24.0944,25.0298,69.96,50,0,10.0
79,Tura,IN,2021-03-14 21:26:32,25.5198,90.2201,68.29,45,0,3.36
80,Adrar,MR,2021-03-14 21:26:32,20.5022,-10.0711,75.25,23,99,7.83
81,Souillac,MU,2021-03-14 21:26:33,-20.5167,57.5167,77.0,94,75,3.44
82,Tigil,RU,2021-03-14 21:26:33,57.8,158.6667,25.95,93,100,19.39
83,Perivolion,GR,2021-03-14 21:26:34,39.4206,20.0147,57.2,82,40,5.75
84,Bonavista,CA,2021-03-14 21:26:34,48.6499,-53.1147,30.0,80,100,3.44
85,Santa Cruz Del Sur,CU,2021-03-14 21:26:34,20.7147,-77.9956,83.79,53,36,5.64
86,Nunchia,CO,2021-03-14 21:26:35,5.6406,-72.1986,89.49,45,81,7.78
87,Arraial Do Cabo,BR,2021-03-14 21:26:35,-22.9661,-42.0278,84.2,73,0,12.66
88,Axim,GH,2021-03-14 21:26:36,4.8699,-2.2405,78.89,81,100,1.66
89,Kaitangata,NZ,2021-03-14 21:26:37,-46.2817,169.8464,64.0,55,100,4.0
90,Comodoro Rivadavia,AR,2021-03-14 21:26:04,-45.8667,-67.5,64.4,68,0,26.46
91,Hope,US,2021-03-14 21:26:38,33.6671,-93.5916,60.8,82,90,11.5
92,Bengkulu,ID,2021-03-14 21:26:38,-3.8004,102.2655,77.13,86,100,4.5
93,Carnarvon,AU,2021-03-14 21:26:39,-24.8667,113.6333,75.2,83,7,4.61
94,Jamestown,US,2021-03-14 21:26:39,42.097,-79.2353,35.01,43,1,19.06
95,Valdivia,CL,2021-03-14 21:25:22,-39.8142,-73.2459,77.0,50,0,9.22
96,Qaanaaq,GL,2021-03-14 21:26:40,77.484,-69.3632,-3.21,66,100,3.04
97,Khani,GE,2021-03-14 21:26:41,41.9563,42.9566,50.0,43,0,21.85
98,Sechura,PE,2021-03-14 21:26:41,-5.5569,-80.8222,83.75,58,7,16.17
99,Uvaly,CZ,2021-03-14 21:26:42,50.0739,14.7308,37.99,93,0,8.05
100,Tuktoyaktuk,CA,2021-03-14 21:26:42,69.4541,-133.0374,-18.4,76,20,13.8
101,Ourem,PT,2021-03-14 21:26:43,39.6417,-8.5919,51.8,87,0,3.44
102,Zhigansk,RU,2021-03-14 21:26:44,66.7697,123.3711,-16.31,88,90,13.22
103,Pevek,RU,2021-03-14 21:26:44,69.7008,170.3133,-5.37,97,100,13.65
104,Hamilton,US,2021-03-14 21:23:10,39.1834,-84.5333,57.0,38,1,6.15
105,Korla,CN,2021-03-14 21:26:45,41.7597,86.1469,52.7,34,96,14.0
106,Upernavik,GL,2021-03-14 21:26:46,72.7868,-56.1549,-1.64,97,100,4.63
107,Severo-Kurilsk,RU,2021-03-14 21:26:46,50.6789,156.125,29.03,55,0,1.54
108,Kenai,US,2021-03-14 21:26:47,60.5544,-151.2583,19.4,79,90,10.36
109,Praia Da Vitoria,PT,2021-03-14 21:24:14,38.7333,-27.0667,62.6,88,40,10.49
110,Yashkul,RU,2021-03-14 21:26:47,46.1711,45.3435,31.19,91,41,14.58
111,Faya,SA,2021-03-14 21:26:48,18.3851,42.4509,64.4,44,0,1.95
112,Albina,SR,2021-03-14 21:26:49,5.5,-54.05,76.96,90,100,2.73
113,Thompson,CA,2021-03-14 21:26:49,55.7435,-97.8558,23.0,36,75,11.5
114,Olinda,BR,2021-03-14 21:26:49,-8.0089,-34.8553,80.6,61,40,11.5
115,Zhezkazgan,KZ,2021-03-14 21:26:50,47.8043,67.7144,3.09,82,91,6.85
116,Mahon,ES,2021-03-14 21:26:51,39.8885,4.2658,53.6,58,0,16.11
117,Hithadhoo,MV,2021-03-14 21:26:51,-0.6,73.0833,84.18,64,100,6.2
118,Marsa Matruh,EG,2021-03-14 21:26:52,31.3525,27.2453,59.0,82,40,5.75
119,Mahebourg,MU,2021-03-14 21:26:52,-20.4081,57.7,77.0,94,75,3.44
120,Kahului,US,2021-03-14 21:24:30,20.8947,-156.47,75.0,78,40,9.22
121,Dawson Creek,CA,2021-03-14 21:26:53,55.7666,-120.2362,14.0,73,20,13.8
122,Taoudenni,ML,2021-03-14 21:26:53,22.6783,-3.9836,75.79,29,0,12.28
123,Marzuq,YE,2021-03-14 21:26:53,14.4,46.4667,61.77,49,0,3.22
124,College,US,2021-03-14 21:26:54,64.8569,-147.8028,15.01,43,20,2.19
125,Saskylakh,RU,2021-03-14 21:26:54,71.9167,114.0833,-31.7,90,0,4.12
126,Krotoszyn,PL,2021-03-14 21:26:55,51.6987,17.4374,39.0,93,37,6.44
127,Cabo San Lucas,MX,2021-03-14 21:22:23,22.8909,-109.9124,80.6,43,20,9.22
128,Lompoc,US,2021-03-14 21:26:56,34.6391,-120.4579,57.2,54,1,11.5
